,Unnamed: 0,'Organization Name ,'Industries ,'Headquarters Location ,'Website ,'Contact Email ,'Full Description ,'Phone Number ,Last Funding Date ,Last Funding Amount - ,Monthly Visits ,'Last Funding Date ,'Last Funding Amount ,'Monthly Visits ,Organization Name ,'Contact Email v ,Last Funding Amount 
10,10,'23. Precursor Ventures ,"'Finance, Financial Services, Venture Capital ","'San Francisco California, United States ",'precursorvc.com/ ,'hello@precursorvc.com ,'Precursor Ventures is an early-stage venture capital firm focused on pre-seed and seed investments in North America The firm focuses on investments in B2B and B2C software applications and hardware Precursor Ventures has adopted the Diversity Term Sheet Rider ,'1+ 650 249 0905 ,',',"'10,349 ",,,,,,
11,11,'24. C The Carlyle Group ,"'Aerospace Asset Management, Financial Services, Management Consulting ","'Washington, District of Columbia, United ",'www.carlyle.com ,'media@carlyle.com ,"'The Carlyle Group is a company involved in the private equity industry primarily They operate more than $81.1 billion of equity capital under management The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate, and leveraged finance investments They recently opened up another arm for their hedge funds The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia, and Australia; its portfolio companies employ more than 286,000 people worldwide Carlyle has ",'(202) 465-7700 ,'- ,'- ,"'204,087 ",,,,,,
0,0,'25. New York Angels ,"'Angel Investment Financial Services, Venture Capital ","'New York, New York, United States ",'www.newyorkangels.com ,'info@newyorkangels.com ,"'New York Angels is one of the largest and most active angel investment organizations. Founded in 2004 as the successor organization to the NYNMA (New York New Media Association) Angel Investor Program New York Angels is a membership organization of over 110 active angel investors and early stage venture capital funds. The group meets monthly to screen and present early stage technology companies, and its members have invested over $100 million since 2002 into over 90 ventures In April of 2017, Pitchbook identified New York Angels as #3 in their list of the 8 top VCs funding ",'- ,,,,',',"'9,924 ",,,
1,1,'26. Advantage Capital ,"'Business Development Financial Exchanges, Financial Services, Impact Investing Venture Capital ","'New Orleans, Louisiana, United States ",'www.advantagecap.com/ ,'info@advantagecap.com ,"'Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992. The firm specializes in growth equity, lending and mezzanine debt capital investments spanning three distinct but complementary themes, driving local economic development and lasting impact in underserved communities Growing Small Business // 800+ PORTFOLIO COMPANIES // 34 STATES // 66,000+ JOBS SUPPORTED II Small businesses and the entrepreneurs who power them are fundamental to the U.S. economy, driving inclusive economic ",'(504) 522-4850 ,,,,"'May 22, 2014 ","'$77,000,000 ","'8,013 ",,,
2,2,'27. Sputnik ATX ,"'Beauty, Enterprise, Fashion, Gaming IT Management, Mobile, Oil and Gas, Pet, Retail, Social ","'Austin, Texas, United States ",'www.sputnikatx.com ,',"'Sputnik ATX is venture capital fund and startup accelerator that funds early-stage maker-founders It combines capital with training and experience to help startups win and grow Its investment portfolio ranges in the industry from revolutionary podcasting analytics to cat care. The accelerator program has two cohorts each year, with each company in the cohort receiving between $100-$500k in investment via the Sputnik ATX SAFE note Sputnik ATX is top decile VC fund Sputnik ATX was founded in 2017 and is headquartered in Austin, Texas ",',,,,',','714 ,,,
3,3,'28. Founder Collective ,"'Hardware, Internet of Things, Mobile ","'Cambridge, Massachusetts, United States ",'foundercollective.com ,'contact@foundercollective.com ,"'Each Founder Collective partner has founded and sold a technology company The company we wish had existed when we first started out is what we hope to create with Founder Collective We offer a user guide for managing the risky commodity known as venture capital The company believes that in order to advance their firms and maintain control, entrepreneurs should aim to raise the least amount of money possible Founder Collective was established on May 22. 2009 in Cambridge, Massachusetts ",',,,,',',"'2,268 ",,,
4,4,'29. The Carlyle Group ,"'Aerospace Asset Management, Financial Services, Management Consulting ",'Washington District of Columbia United ,'www.carlyle.com ,'media@carlyle.com ,"'The Carlyle Group is a company involved in the private equity industry primarily They operate more than $81.1 billion of equity capital under management The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate, and leveraged finance investments They recently opened up another arm for their hedge funds The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia, and Australia; its portfolio companies employ more than 286,000 people worldwide Carlyle has ",'(202) 465-7700 ,,,,',',"'204,087 ",,,
5,5,'30. TOLA Tola Capital ,"'Artificial Intelligence, Cloud Security, Developer Tools, Enterprise Software, Financial Services, Venture Capital ","'Seattle, Washington United States ",'www.tolacapital.com ,'info@tolacapital.com ,"'Founded in 2010 by ex-software operators, Tola Capital is a venture capital firm that believes in the power of software and data to transform the way the world works Our diverse team provides hands-on engagement to founders who build solutions with the potential for long-term transformational change We invest globally across multiple stages and exclusively target companies led by exceptional talent who are building essential software for enterprise customers. ",',,,,',',"'3,310 ",,,
6,6,'31. GSR Ventures ,"'Artificial Intelligence, Business Development Finance Financial Services, FinTech Venture Capital ","'Palo Alto, California, United States ",'www.gsrventures.com/2 ,'pr@gsrventures.com ,"'GSR Ventures is a venture capital firm focused on early-stage technology companies developing Al-enabled enterprise software, consumer platforms, and healthcare technology. The firm backs entrepreneurs building disruptive businesses that have the potential to dominate multi-billion dollar markets GSR Ventures currently manages about $3 billion across its funds. ",'+1 650 3317300 ,,,,',',"'1,910 ",,,
7,7,'32. Accel ,"'Finance, Financial Services, Venture Capital ","'Palo Alto, California, United States ",'www.accel.com ,',"'Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs. Accel backs entrepreneurs who have what it takes to build world-class, category-defining business The company brings more than three decades of experience in building and supporting companies Accel's vision for entrepreneurship and business enables it to identify and invest in the companies that will be responsible for the growth of next-generation industries. Accel-backed companies include Atlassian, Braintree, Cloudera, DJI, Dropbox Dropcam, Etsy, Facebook Flipkart ",'650-614-4800 ,,,,',',"'50,962 ",,,
8,8,'33. Ben Franklin Technolog... ,"'Commercial Real Estate, Financial Services, Government, News, Venture Capital ","'Philadelphia, Pennsylvania, United States ",'www.sep.benfranklin.org ,'info@sep.benfranklin.org ,"'We're (not just) investors We're (more than) advisors We're (beyond) connectors Ben Franklin Technology Partners combines the best practices of early stage investing with a higher purpose to lead the region's technology community to new heights, creating jobs and transforming lives For over 30 years, Ben has been the leading seed stage capital provider for the region's technology sectors, investing over $170 million in more than 1,750 regional technology companies, many of which have gone on to become industry leaders Ben Franklin has also launched university/industry partnerships ",'215.972.5588 ,,,,"'Sep 13, 2022 ","'$19,678,479 ",'- ,,,
9,9,'34. Nexus Venture Partners ,"'Finance, Financial Services, Venture Capital ","'Menlo Park, California, United States ",'www.nexusvp.com2 ,'jobs@nexusvp.com ,"'Nexus Venture Partners is a venture capital firm established by ex-entrepreneurs in enterprise technology and consumer internet The firm was founded in 2006 and is headquartered in Menlo Park, California, United States ",'(650) 233-0700 ,,,,','- ,"'9,146 ",,,
10,10,'35. Breyer Capital ,"'Angel Investment, Finance, FinTech Venture Capital ","'Menlo Park, California, United States ",'breyercapital.com ,'info@breyercapital.com ,"'Breyer Capital is a premier global venture capital and private equity investor focused on catalyzing high-impact entrepreneurs in the United States and China Founded by Jim Breyer in 2006, Breyer Capital makes long-term idea-driven strategic investments in its chosen core areas: social media, entertainment/media, digital health, and financial technologies Breyer Capital actively partners with diverse set of companies including early-stage startups building breakthrough technologies, fast growing companies, and established worldwide leading corporations its team enjoys helping to ",'(212) 687-8080 ,,,,',',"'4,238 ",,,
11,11,'36. Fifth Wall ,"'Finance, Financial Services Real Estate Investment Venture Capital ","'Los Angeles, California, United States ",'fifthwall.com/ ,'ideas@fifthwall.com ,"'Founded in 2016, Fifth Wall, a Certified B Corporation is the largest venture capital firm focused on technology for the global real estate industry. With approximately $3.0 billion in commitments and capital under management, Fifth Wall connects many of the world's largest owners and operators of real estate with the entrepreneurs who are redefining the future of the Built World Fifth Wall is backed by global mix of more than 90 strategic limited partners (LPs) from more than 15 countries, including BNP Paribas Real Estate, British Land, CBRE Cushman & Wakefield Host Hotels & Resorts, ",'- ,,,,','- ,"'9,460 ",,,
0,0,,"'Finance, Financial Services, Venture Capital ","'Portland, Oregon, United States ",'portlandseedfund.com 2 ,,"'The Portland Seed Fund invest Typical initial investment size of $50,000-$100,000 with participation in multiple follow on rounds Sector agnostic the largest sector is B2B software / SaaS with investments in data center infrastructure, AR/VR health care IT, direct-to-consumer e-commerce mobile, cleantech, food, and apparel 10-20 investments per year. Now investing out of third fund with more than $20 million AUM ",(503) 419 3007 ,"Mar 19, 2014 ",,,,,','Portland Seed Fund ,'info@portlandseedfund.com ,'
1,1,,"'Financial Services, Professional Networking Venture Capital ","'San Francisco, California, United States ",'www.villageglobal.vc/ ,,'Village Global is an early stage venture capital firm backed by some of the world's most successful entrepreneurs. ,'- ,',,,,,"'9,642 ",'Village Global ,','
2,2,,"'Finance, Financial Services, FinTech, Venture Capital ","'Menlo Park, California, United States ",'www.socialcapital.com ,,"'Social Capital is Menlo Park-based investment firm whose mission is to advance humanity by solving the world's hardest problems By harnessing technology to address core human needs, they aim to drive a bottom-up redistribution of power, capital and opportunity. To achieve this, they're building a new kind of company and a platform for empowering brilliant entrepreneurs and breakthrough products Founded in 2011, the company is based in Menlo Park California, United States ",'650.521.9007 ,',,,,,"'20,352 ",'Social Capital ,'inbox@socialcapital.com ,'
3,3,,"'Consumer, Enterprise Software, Venture Capital ","'New York, New York, United States ",'www.lererhippeau.com ,,"'Lerer Hippeau is an early-stage venture capital firm founded and operated in New York City. Since 2010, we have invested in entrepreneurs with great ideas who aren't afraid to do hard things. Our portfolio includes more than 400 leading enterprise and consumer businesses including Guideline MIRROR Blockdaemon, K Health, Allbirds, ZenBusiness, and Thrive We're experienced operators who invest early and stay in our founders corners as they build iconic companies Learn more at lererhippeau.com Lerer Hippeau has adopted the Diversity Term Sheet Rider. ",','- ,,,,,"'11,625 ",'LH Lerer Hippeau ,'contact@lererhippeau.com ,'- 
4,4,,"'Finance, Financial Services, Venture Capital ","'San Francisco, California, United States ",'www.susaventures.com ,,"'Susa Ventures is an early-stage venture capital firm investing primarily in seed rounds The firm was founded in October 2013 and si headquartered in San Francisco, California, United States. ",',"'Jun 1, 2021 ",,,,,"'6,027 ",'Susa Ventures ,','
5,5,,"'Asset Management, Business Development Financial Services, Venture Capital ","'New York, New York United States ",'www.insightpartners.com ,,"'Insight Partners is private equity firm that invests in growth-stage technology and software companies Across their people and their portfolio, they encourage a culture around a core belief growth equals opportunity Founded in 1995, the firm currently has over $20 billion of assets under management and has cumulatively invested in more than 300 companies worldwide ",'212-230-9200 ,',,,,,"'79,620 ",'Insight Partners ,'press@insightpartners.com ,'
6,6,,"'Finance, Financial Services, Venture Capital ","'San Francisco California, United States ",'rightsidecapital.com/ ,,"'Right Side Capital Management is venture capital firm that helps startups build their company It invests exclusively in the pre-seed round of technology startups and makes 75-100 investment per year. The firms prefers to invest in diversified technology sectors such as the internet and cloud companies. RSCM was established in 2010 and is based in San Francisco, California ",'053-881-6943 ,',,,,,"'2,059 ",'Right Side Capital Man.. ,'Admin@rightsidecapital.com ,'
7,7,,"'Business Development, Finance, Financial Services, Venture Capital ","'San Francisco, California, United States ",'craftventures.com/ ,,"'Craft Ventures is an early-stage venture fund specializing in the craft of building great companies It has brought together a rare combination of entrepreneurial experience and investor acumen Over the past twenty years, David, Bill, Jeff. and Sky have built and invested in some of the most iconic companies of this generation. The firm consists of team of 15 investors and operators that are united by a quest to find the next generation of world-changing companies and deep respect for the founders who create them ",'- ,',,,,,"'35,586 ",'Craft Ventures ,'jessica@craftventures.com ,'
8,8,,"'Finance, Financial Services, FinTech, Venture Capital ","'Santa Monica, California, United States ",'upfront.com ,,"'Upfront Ventures is proud to be an early investor and long-term partner to the most exciting founders and startups Founded in 1996 in Los Angeles with investing professionals based in LA. San Francisco, and Paris, Upfront has backed standout teams across all technology sectors, including Ring (acq. by Amazon), TrueCar (NASDAQ: TRUE). Bird, Maker Studios (acq by Disney). GOAT, Apeel Sciences thredUP, Invoca and Kyriba (acq by Bridgepoint). We invest about half of our capital in the fast-growing Southern California ecosystem with the balance across the country as well as investments ",'+1 310-785-5100 ,',,,,,"'17,892 ",'upfront Upfront Ventures ,','
9,9,,"'Angel Investment, Finance, Venture Capital ","'San Francisco, California, United States ",'slow-prod.herokuapp.com ,,"'Slow Ventures is a community built on the collective experience and fueled by curiosity, Slow understands the entrepreneurial journey. Investing at the center of technology and on the edges of science, society. and culture, Slow gives founders the resources, connections, experiences, and empathy required to build strong, sustainable companies. ",'- ,',,,,,'- ,'Slow Ventures ,'- ,'
10,10,,"'Business Development Finance, Financial Services, Venture Capital ","'New York, New York United States ",'tigerglobal.com ,,"'Tiger Global Management is an investment firm that deploys capital globally. Tiger Global seeks to earn superior risk-adjusted returns for its investors over the long term The firm's fundamentally oriented investments focus primarily on the global Internet, technology, telecom, media consumer, and industrial sectors The private equity strategy has a ten-year investment horizon and targets growth-oriented private companies The public equity efforts emphasize deep due diligence on individual companies and long-term secular themes As a Firm Tiger Global values integrity, intellectual honesty, ",'212-984-8800 ,',,,,,'- ,'Tiger Global Managem ,','
11,11,,"'Financial Services, FinTech, Software, Venture Capital ","'San Mateo, California, United States ",'www.draper.vc ,,"'Draper Associates is an early-stage venture capital firm that invests in industry-transforming companies They invest globally, in great teams of people creating revolutionary companies in new media gaming. SaaS, cloud, new finance, IOT. and mobile Their portfolio companies disrupting markets in the tens of billions and are on a clear path to later rounds of fundraising Draper Associates encourages entrepreneurs to drive their businesses to greatness, to transform industries with new technologies, and to build platforms for extraordinary growth jobs, and wealth creation If was founded in ",'650-233-9000 ,',,,,,"'3,102 ",'Draper Associates ,'plans@draper.vc ,'
